"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,84.07497783526,0.119948221061445,"ENSG00000286989",0
"OK",0,40.7986081526447,0.066962470408976,"HES5",0
"OK",0,77.9080581423232,0.127932223339653,"CHD5",0
"OK",0,55.555840694664,0.0910529824665388,"TNFRSF25",0
"OK",0,41.6585420705552,0.0677589132557999,"PLEKHG5",0
"OK",0,96.2170885676344,0.158380310453884,"RBP7",0
"OK",0,43.1778405846492,0.0708053929799278,"PDPN",0
"OK",0,135.242486847599,0.222735255493414,"KAZN",0
"OK",0,50.8580107927835,0.081173330496583,"KAZN-AS1",0
"OK",0,54.1608769909538,0.0883302901119673,"EFHD2",0
"OK",0,52.5050158363633,0.0810551808607574,"AGMAT",0
"OK",0,44.5364002878877,0.0725544673927831,"SLC25A34",0
"OK",0,42.372595700395,0.069653697117206,"ARHGEF10L",0
"OK",0,94.5582887455999,0.155620398203797,"IGSF21",0
"OK",0,43.5498547024814,0.0715926323236351,"LUZP1",0
"OK",0,42.7796882352922,0.0704434342388716,"STMN1",0
"OK",0,38.7922404971259,0.0634134659672853,"XKR8",0
"OK",0,118.829694682578,0.195633532469956,"SDC3",0
"OK",0,43.5852989889993,0.0717753773328263,"MARCKSL1",0
"OK",0,77.8772775609852,0.128257310411915,"CSMD2",0
"OK",0,47.2582781073256,0.0755414993917527,"TFAP2E-AS1",0
"OK",0,48.2560001260216,0.0770207194772128,"ENSG00000286899",0
"OK",0,43.4195250070952,0.0687481330743152,"COL8A2",0
"OK",0,70.0893693765755,0.115306071602714,"GRIK3",0
"OK",0,43.7101340498353,0.0719834723894326,"MACF1",0
"OK",0,51.4706532521294,0.0787366072809529,"MYCL",0
"OK",0,124.194661018546,0.204599934956558,"RNF220",0
"OK",0,48.9873294487552,0.0787332160417717,"MKNK1-AS1",0
"OK",0,40.7105317469406,0.0656451773743233,"EFCAB14-AS1",0
"OK",0,134.785590856987,0.221815604153368,"AGBL4",0
"OK",0,70.4066085689811,0.115815300096433,"ELAVL4",0
"OK",0,42.6529400037891,0.0702408308743843,"EPS15",0
"OK",0,77.3128699065492,0.127206373997776,"ECHDC2",0
"OK",0,47.7471792526955,0.0774910771973635,"PODN",0
"OK",0,48.1099563981488,0.0792184504747234,"USP24",0
"OK",0,43.9244191079705,0.0722287461683755,"PRKAA2",0
"OK",0,40.8295579135095,0.0633191526572977,"FYB2",0
"OK",0,217.855364142134,0.358817186987807,"DAB1",0
"OK",0,83.457676577452,0.137302910922148,"LINC01748",0
"OK",0,92.9846905699095,0.153002160850279,"ENSG00000231252",0
"OK",0,90.6200291522446,0.148928474112027,"NFIA-AS2",0
"OK",0,44.398799490699,0.0717599210255654,"KANK4",0
"OK",0,68.8261465396059,0.113198932859094,"CACHD1",0
"OK",0,44.5160667494627,0.0731484621286962,"RAVER2",0
"OK",0,52.3727712606603,0.0862592913671953,"DNAJC6",0
"OK",0,71.6841339186203,0.118080188538285,"PDE4B",0
"OK",0,59.6939328480151,0.0979377745527049,"GADD45A",0
"OK",0,57.9249485888235,0.0952643229969561,"GNG12",0
"OK",0,46.5234764036043,0.0763633401615713,"GNG12-AS1",0
"OK",0,39.5277067644889,0.0645487614330183,"DIRAS3",0
"OK",0,49.7883763972635,0.0818875693989271,"WLS",0
"OK",0,72.7640307924671,0.119853572562257,"LRRC7",0
"OK",0,86.9002033674667,0.143130872018672,"NEGR1",0
"OK",0,44.7174587468478,0.0735809539467219,"ENSG00000286863",0
"OK",0,54.3252551052465,0.0844878222780107,"LINC02796",0
"OK",0,40.4012099449306,0.0661445630305229,"ERICH3",0
"OK",0,88.2039334765673,0.145209149688138,"SLC44A5",0
"OK",0,53.2491432460603,0.0876926752524201,"ST6GALNAC3",0
"OK",0,49.848075820868,0.0817126633326233,"ST6GALNAC5",0
"OK",0,71.0726591423813,0.117065008608241,"AK5",0
"OK",0,41.5370926348283,0.0664843210488847,"IFI44L",0
"OK",0,183.38320687518,0.30037666165569,"ADGRL2",0
"OK",0,123.739254478358,0.203848295307075,"TTLL7",0
"OK",0,69.3607327067071,0.114139866180777,"DDAH1",0
"OK",0,41.7674899132437,0.0686700514385639,"HFM1",0
"OK",0,42.2630815973215,0.0694688117150345,"FNBP1L",0
"OK",0,41.116202856279,0.0626217656003166,"ENSG00000228852",0
"OK",0,38.79938386949,0.0638937820134507,"PTBP2",0
"OK",0,75.4137622770522,0.124217638093504,"DPYD",0
"OK",0,70.6400606927102,0.115589225669169,"MIR137HG",0
"OK",0,76.2611597209821,0.12155452428991,"ENSG00000259946",0
"OK",0,92.6693223625648,0.152485554539874,"PLPPR5",0
"OK",0,57.2019903255227,0.0938811997525461,"PLPPR5-AS1",0
"OK",0,57.7041026572213,0.094779952498488,"PLPPR4",0
"OK",0,235.510261132927,0.386296288265418,"OLFM3",0
"OK",0,47.3812139582934,0.077462088090483,"ENSG00000233359",0
"OK",0,179.894565653063,0.296225439770566,"COL11A1",0
"OK",0,59.4179679196314,0.0799062512859435,"AMY2A",0
"OK",0,193.070280197716,0.317925811296563,"NTNG1",0
"OK",0,83.5430866827292,0.137091411274268,"ENSG00000289612",0
"OK",0,90.9622786466836,0.149425985547524,"VAV3",0
"OK",0,44.4478095559085,0.0731990341595992,"SORT1",0
"OK",0,77.0489689851344,0.109921582936707,"GPR61",0
"OK",0,42.082568379698,0.0663956275618881,"LINC01397",0
